researchTitle,program,dateStart,PrincipalInvestigator,dateEnd,coPI,bio
"Doctoral Dissertation Improvement Grant: Cerro de Moctezuma in the Casas Grandes Ritual Landscape, Chihuahua, Mexico",ARCHAEOLOGY,2005-07-01,Suzanne Fish,2008-06-30,Suzanne Fish,"The prehistoric Casas Grandes culture centered at the large town known as Paquime in northwest Mexico spanned today's international border and combined elements typical of both ancient Mexico and ancestral Puebloans in the U.S. Southwest. Under the direction of Dr. Suzanne K. Fish, Todd A. Pitezel will conduct excavation at Cerro de Moctezuma (Moctezuma Hill) in the Casas Grandes region and subsequent analyses of archaeological materials. Cerro de Moctezuma is unique for having El Pueblito, the only recorded instance of a habitation on a hill among many hundreds of valley sites during the Medio period, ca. A.D. 1200-1450. A variety and quantity of features uncommon for Medio period settlements are found at El Pueblito including adobe architecture, masonry architecture, and rock alignments. A circular rock enclosure unparalleled in size among Medio period examples surrounds the hill summit 200 m above El Pueblito. Qualitative differences between types of features suggest distinguishable functions. Excavation is directed toward the recovery of data from these features that will clarify the role of Cerro de Moctezuma and El Pueblito's inhabitants during the Medio period and why people chose to establish a substantial community inconveniently away from water and food.<br/><br/>Work at Cerro de Moctezuma is important because of its potential for understanding the ritual components within the social organization centered at Paquime. Social scientists recognize the importance of ritual, or any community activity, as a mechanism for collective cooperation and maintenance of identity. Moreover, ethnographic research among societies of divergent levels of complexity documents the use of promontories and features found on them as important elements of ritual systems. When group activities are performed on or in relation to elevated landforms, those landforms become conspicuous and meaningful daily reinforcements of the collective ideas expressed in performances. Cerro de Moctezuma's conspicuous presence at the intersection of three heavily populated valleys and proximity to the regional center Paquime would have positioned El Pueblito's inhabitants as potentially crucial players in the Casas Grandes ritual system. Analyses of materials (e.g., ceramics, stone tools, nonlocal goods) from different features can illuminate the ways in which Cerro de Moctezuma was used. Additionally, the data obtained from analyses can verify or reject the initial evaluation of Cerro de Moctezuma as a ritually charged component of the Casas Grandes regional system.<br/><br/>A significant outcome of the research will be the strengthening of ties among Mexican and U.S. institutions, professional communities, and university students. A binational team of Mexican and United States archaeology students will be assembled for the field research. Archaeology in northern Mexico is relatively unknown compared to the more famous southern counterpart of Mesoamerica. This research advances awareness of northern Mexico's cultural heritage. Finally, as a locally well-known archaeological site, work at Cerro de Moctezuma will introduce local residents to current methods and outcomes of archaeological research through guided tours during excavation and subsequent exhibits and education programs at the Museo de las Culturas del Norte (Museum of the Northern Cultures) at the site of Paquime."
"Dissertation Research: The Ceramics of Piedras Negras, Guatemala",ARCHAEOLOGY,2001-12-15,T. Patrick Culbert,2002-11-30,Arturo Munoz,"Under the direction of Dr. T. Patrick Culbert, Mr. Arturo Munoz will collect data for his dissertation. For the last four years Mr. Munoz has been a member of the archaeological team excavating the ruins of the Classic Maya city of Piedras Negras, Guatemala. Piedras Negras is located in a remote corner of the Peten rainforest and is renowned for the excellent quality of its sculpture and for the unusually complete sequence of dated stelae erected by the cities rulers between A.D. 650 and 800. Piedras Negras is particularly notable because of the heavy emphasis on resist decoration on locally made ceramics. This technique, virtually unknown in other parts of the Maya Lowlands, dominates the Late Classic polychrome ceramic tradition at Piedras Negras. Because of the unusually complete historical record for the site as well as the excellent provenance data available as a result of the recent excavations it is possible to track the development and spread of resist decorated ceramics with a rare degree of precision. Resist decorated ceramic appear first in elite contexts. They are carefully decorated and well fired. Later, more crudely executed resist types become common and are recovered from all levels of settlement. These observations lead to several hypotheses amenable to testing utilizing a variety of quantitative measures. <br/><br/>In general terms, this research is a diachronic study of changing ceramic styles, framing the development of resist-decorated ceramics first as a result of particular historical and social circumstances at Piedras Negras and second, and more broadly, as a result if general processes linking crafting and the possession of cultural goods to processes of political legitimation. With very few exceptions, Americanist archaeologists rarely consider the social component of technological change, becoming what have been described as ""somnambulists"" adopting the position that technological change unfolds automatically according to its own inevitable logic and independently of social and cultural processes. As a result, most archaeological research focusing on technological change has emphasized the effects of increased efficiency on mitigating changing environmental or other conditions. If this research is successful, it will present a model for understanding processes of technological change emphasizing the importance social processes in determining not only the content of emerging technologies, but also their success or failure.<br/><br/>For a variety of reasons the Usumacinta Basin is one of the most understudied part so the Maya Lowlands. This research will provide some of the very first detailed data for the region, and will provide key information on one of the preeminent Lowland Maya sites. This research will not only be a valuable reference for future archaeologists working in the area, it will also interest any member of Guatemalan society curious about their country's ancient past. Finally, this research will assist in the training of a promising young scientist."
"Dissertation Research: Comparative Household Archaeology in the Zapotitan Valley, El Salvador",ARCHAEOLOGY,1998-09-01,T. Patrick Culbert,2000-08-31,Brian McKee,"Under the direction of Dr. T. Patrick Culbert, Mr. Brian McKee will collect data for his doctoral dissertation. His research focuses on a comparison between two archaeological sites, Ceren and San Andres, both occupied during the Classic Period and located in the Zapotitan Valley, El Salvador. The sites differ in terms of both position in a regional settlement system and of preservation. Ceren is unique in Middle America because it represents a Pompei like situation. The small rural village is buried under a protective layer of volcanic ash. Although most (although not all) inhabitants had time to flee before the cataclysmic volcanic eruption, they were able to take few of their possessions with them. Delicate organic materials such as storage gourds are well preserved and objects were left where they were used. The site therefore provides unparalleled insight into the range and spatial distribution of material culture. In the course of their activities, the Ceren people discarded objects which were no longer of use and trash pits similar to those preserved in many Middle American sites were discovered. It is very likely that the inhabitants of adjacent San Andres had a range of material culture and way of life similar, in most essentials, to their Ceren contemporaries. San Andres however was not subject to similar volcanic forces and abandonment occurred in a more gradual manner. Because discarded objects were not suddenly buried, preservation is not of the same high quality. Therefore a comparison of the two sites and a determination of systematic differences can give scientists insights into the nature of abandonment and post abandonment changes which pattern materials recovered through excavation. Likely material recovered from buried trash deposits will be similar. Assuming such to be the case, the differences in remains associated with house floors and surrounding surface areas will be particularly instructive. Although research has been conducted at Ceren for many years, much less is known about San Andres. Mr. McKee will conduct systematic excavations at this latter site. A surface survey will be followed by a testing program and analysis of recovered artifacts. In addition to providing insight into preservation and abandonment processes, the data will allow for a comparison between rural hinterland and political center. The information will be of interest to many archaeologists and assist in training a promising young scientist."
Dissertation Research: Study of an Ancient Maya Bajo Community in Northwestern Belize,ARCHAEOLOGY,1998-06-01,T. Patrick Culbert,2001-05-31,T. Patrick Culbert,"Under the direction of Dr. Patrick Culbert MS Julie Kunen will collect data for her doctoral dissertation. Building on one season of preliminary fieldwork, she will continue survey and excavation at the archaeological site of La Milpa. Located in northwestern Belize this large lowland Mayan settlement contains a range of structures which vary in size from small household size mounds to major monumental structures. Most interesting perhaps is the presence of a system of reservoirs and drainages that regulated the storage and release of water to different areas of the site. This suggests a high degree of centralized water management and control. Also associated with the site are low-lying swampy areas known as `bajos.` These features have been the focus of much speculation because many researchers believe that these areas were significantly altered by purposeful human modification and served as highly productive field systems. They believe that bajo agriculture allowed Mayan peoples to achieve population densities unusual in lowland tropical settings. MS Kunen will conduct extensive excavation in one bajo to search for cultural modifications. She will prepare a detailed vegetation map since evidence indicates that fine grained variation in vegetation patterns provides indications of human manipulation of soil. During her preliminary work MS Kunen located a number of sites located near the edge of the bajo and she will survey and excavate them. She wants to understand the social organization of the prehistoric La Milpa inhabitants and wishes to test the idea that variation in household size and status is determined by their relative placement on the landscape in relation to agricultural resources. Because her work is part of a larger project, she will be able to compare the settlements she excavates to those located in non-bajo areas. This research is important for several reasons. It will shed light on how the prehistoric Maya with a relatively simple technology were able to achieve high population densities in a resource poor environment. It may provide new insight into the principles of Mayan social organization and will assist in training a promising young scientist."
Dissertation Research: Maya Wetlands Project: Ecology and Subsistence in Prehispanic Belize,ARCHAEOLOGY,1993-12-01,T. Patrick Culbert,1996-11-30,T. Patrick Culbert,"9318930 Culbert Under the direction of Dr. Patrick Culbert, Mr. Jeffrey Baker will collect data for his doctoral dissertation. He will conduct geoarchaeological research in lowland Belize. Mr. Baker wishes to reconstruct agricultural practices of prehistoric Mayan peoples. In particular he wants to understand cultivation techniques which were practiced in lowland areas or ""bajos"" which are waterlogged for portions of the year. He will employ both geological and ecological techniques to study the nature of bajo soils, their chemistry and their water retention characteristics. He will study the vegetation of a number of bajo types to understand the relationship between soil, water and vegetation. Finally he will also conduct archaeological excavation to determine whether fields underwent human modification and how Mayan peoples used them. Archaeological evidence demonstrates that ancient Mayan peoples were able to farm low-lying tropical areas and produce enough food to support large populations. While many archaeologists believe that this was accomplished through a system of raised fields and that landscape was extensively modified, others disagree. Unfortunately the basic geological and ecological data necessary to address this question does not exist. The research which Mr. Baker will conduct should help to remedy this problem. This project is important for several reasons. Ancient Mayan peoples thrived in regions which today support only small populations. Prehistoric peoples had developed agricultural techniques which, if reconstructed could have direct practical benefit. The project will also further the development of an extremely promising young scientist. ***"
Domestic and Political Lives of the Classic Maya Elites: Subvention for the Aguateca Monographs,ARCHAEOLOGY,2009-02-01,Takeshi Inomata,2010-01-31,Daniela Triadan,"With support from the National Science Foundation, Drs. Takeshi Inomata and Daniel Triadan will publish the results of archaeological investigations conducted during the first phase of the Aguateca Archaeological Project from 1996 through 2003. Extensive excavations in an elite residential area and the royal palace at the Classic Maya site of Aguateca, located in the western Peten, Guatemala, uncovered a rare case of rapid abandonment around AD 810. In situ artifact assemblages which resulted from this abandonment are unprecedented in the Maya lowlands. These remains present vivid images of Classic Maya life. To disseminate these important data, Inomata and Triadan will compile a three-volume monograph series to be published from the University of Utah Press. A subvention from the NSF will specifically support the publication of Volumes 1 and 3. (Volume 2, reporting the results of the lithic analyses by Dr. Kazuo Aoyama, has received a subvention from the Japan Society for the Promotion of Science).<br/><br/>Investigations during the first phase of the Aguateca Project have provided new insights into elite household organization, gender roles, power relations, Classic Maya court organization, craft production, rituals, royal symbolism, and warfare. Although project members have published these findings in numerous journal articles and book chapters, they report only a small fraction of the primary data. It is critical to make these rich data available to the scholarly community and to the general public. A detailed, well-illustrated publication of the Aguateca data will serve scholars as a basis of diverse lines of research for decades to come. <br/><br/>Print media is more adequate than digital formats for the publication of the rich contextual and cultural information that the Aguateca data present. In addition, printed books will assure that these important data will be accessible for a long term. However, many presses are now reluctant to publish data-heavy reports because of high production costs. The grant from the NSF will allow the publication of Aguateca materials in ideal print forms. Given the large amount of funds that were invested in the Aguateca Project by the NSF and other granting agencies, the relatively small amount necessary for the publication of the results is a particularly effective use of NSF funds. <br/><br/>On a larger scale, the rich information on daily life and courtly activities in Classic Maya society presented by this publication will provide a valuable resource for undergraduate and graduate education and for outreach to the public. The final publication of the project results will also ensure that this invaluable cultural heritage of the region will be passed on to future generations."
"Agency and Practice in the Classic Maya Collapse: Excavations of the Terminal Classic Royal Palace at Seibal, Guatemala",ARCHAEOLOGY,2008-04-01,Takeshi Inomata,2010-12-31,Daniela Triadan,"Drs. Takeshi Inomata and Daniela Triadan, with an international team of collaborators, will conduct a three year project at the Maya center of Seibal, Guatemala, to examine processes of political disintegration around the 9th century AD, often called the Classic Maya collapse. By extensively excavating the Terminal Classic palace remains at this site, the researchers will focus on actions and strategies of the royal elite during this social change.<br/><br/> Harvard University extensively investigated Seibal in the 1960s, documenting its unique florescence during the 9th century while many other centers were declining. Since then, Seibal has been considered a key site in the study of the Classic Maya collapse. Subsequent developments in archeological research in the region and in epigraphic decipherment have added substantial data, making the reexamination of this important center highly desirable. A critical piece of information still missing from Seibal is the royal residential complex of the Terminal Classic. Recent investigations have shown that the East Court of Seibal most likely served as the Terminal Classic royal palace.<br/><br/> By examining the Terminal Classic palace, the project members will examine the following questions: 1) Was the East Court newly constructed during the Terminal Classic, representing a break from the previous dynastic tradition? 2) How did the configurations of the palace, along with the patterns of interactions, change through time? 3) How were royal ideologies and symbolisms expressed through architectural decorations? 4) How is the decline of the Seibal dynasty reflected in the palace remains? Through a combination of extensive excavations, deep trenches, and tunnels, they will examine the presence of an earlier palace complex, changes in spatial configurations, types of activities reflected in artefactual deposits, stucco sculptures and other architectural decorations, and the process of abandonment.<br/><br/> The project promises to provide new insights into how the ruling elite tried to cope with the changing social and natural environments, either by devising new forms of political interactions and new ideologies or by maintaining old traditions. The research will also shed light on how these efforts ultimately failed. The results of the project will contribute to the understanding of the social dynamics of Classic Maya political disintegration and the anthropological study of social change.<br/><br/> The project will involve graduate and undergraduate students, as well as Guatemalan students, offering them opportunities for training and research. Moreover, the project members will continue their collaboration with local communities in the region for cultural and natural conservation, which they have been developing since the 1990s. The archaeological remains of Seibal have been under serious threat since illegal occupants began deforesting a substantial part of the protected national park in the late 1990s. The proposed project will aid and promote local awareness and initiative, which are indispensable for the successful protection of the Seibal park."
"Households and Polities in Classic Maya Society: Survey and Excavation in the Aguateca Area, Guatemala",ARCHAEOLOGY,2004-06-01,Takeshi Inomata,2007-05-31,Daniela Triadan,"With National Science Foundation support, Drs. Takeshi Inomata, Daniela Triadan, and an international team of colleagues, will conduct the second phase of the Aguateca Archaeological Project, examining households in Classic Maya society (A.D. 250-900). Its first phase focused on the epicenter of Aguateca, which was abandoned rapidly because of an attack by enemies around A.D. 810. Extensive excavations of residences with numerous in situ assemblages provided extraordinary data on elite households. Investigations showed that Aguateca was originally part of the Tamarindito polity during the Tepeu I phase (A.D. 600-700) of the Late Classic period. After an intrusive dynasty, coming from Tikal, established its seats of power at Dos Pilas and Aguateca, the population of Aguateca grew explosively during the Tepeu II phase (A.D. 700-810). Households associated with the Tamarindito polity and those affiliated with the Dos Pilas/Aguateca dynasty appear to have built their houses in different architectural styles. <br/><br/>Building on the success of the first phase, the proposed second phase will examine the relationship between households and polities. The primary research questions are: How do governmental institutions of polities affect the daily lives of households and how does the organization and activities of households condition the governing strategies and political options? An effective archaeological approach for this purpose is to examine differences and similarities among households across neighboring polities with particular attention to the nature of political boundaries. The research will be guided by three theoretical concerns. The first is a debate among Maya scholars on whether Classic Maya polities had clearly demarcated boundaries or fluid, indeterminate ones. The second is that the effects of political control by the central authorities may have varied among households of different social positions. The third is that the study of this issue requires attention to multiple dimensions of society, including political administration, economic transactions, social interactions, and community identities. <br/><br/>A consideration of the specific historical context and the nature of available data leads to the following more specific questions: (1) Do the two different architectural styles exhibit clearly demarcated spatial distributions between Aguateca and the neighboring centers?; (2) Did elite and non-elite households in the Aguateca polity and the Tamarindito polity use their domestic spaces differently and conduct different types of activities?; and (3) Did elite and non-elite households in the Aguateca and Tamarindito polities have differential access to economic goods? These questions will be addressed through an integrated program of survey along transects between these centers, excavation, soil residue analyses, and continuous laboratory analyses.<br/><br/>Detailed, contextualized data obtained from the project will contribute to the growing field of household archaeology in the Maya area. They will also present theoretical implications beyond Maya archaeology, by providing a rich account of how households experienced centralized power and how the reactions of households shaped the political strategies of polities. In addition, the project will promote intellectual exchanges among scholars and students from various countries and offer opportunities for master, Ph.D., and licenciatura research. Moreover, the project will aid the preservation of cultural and natural patrimony through a sustainable development of the region and the involvement of local communities. The project will continue a long-term collaboration with the local Q'eqchi' Maya by promoting and assisting their initiatives for archaeo-eco tourism, reforestation, and lake-rejuvenation."
Doctoral Dissertation Improvement Award: The Role Of Ritual In Household And Societal Solidarity,DDRI Archaeology,2015-03-15,Takeshi Inomata,2016-02-29,Jessica MacLellan,"Jessica MacLellan, a Ph.D. candidate at the University of Arizona, will investigate the role of household rituals in the development of ancient Maya civilization. This project will provide empirical evidence to address broad questions about the roles of households and ritual in social and political change around the world, particularly in non-Western societies. Many scholars have shown that public rituals are key to the integration of communities and the emergence of kingship in early states. Some argue that such rituals are based on pre-existing domestic practices, but in the case of the earliest Maya communities, the nature of the relationship between domestic and public remains unclear. MacLellan's research will illuminate the social processes involved in the transition to a sedentary, agriculture-based lifestyle and in the subsequent emergence of a complex civilization. Related studies in the Maya area have focused on smaller sites, later time periods, and other regions, and therefore on different social processes. MacLellan's work will provide a new, complementary perspective on the role of household activities in the development of socio-political hierarchies. <br/><br/>MacLellan's research is part of the Ceibal-PetexbatÏn Archaeological Project, an international collaboration directed by Dr. Takeshi Inomata and Dr. Daniela Triadan, also of the University of Arizona. The site of Ceibal, in Guatemala, was founded as a public ceremonial center surprisingly early - around the time sedentary villages and ceramics began to appear in the Maya lowlands (about 1000 BC). Ceibal therefore presents a rare opportunity to investigate how changes in ritual practices relate to important socio-political transformations, beginning around the transition to agriculture. MacLellan has conducted preliminary investigations at the Karinel Group, an early residential area. Through further, carefully targeted excavations at the Karinel Group and subsequent laboratory analyses, MacLellan will evaluate three specific questions in order to determine how shifts in household ritual affected the broader society at Ceibal: 1) When did people at Ceibal began living in permanent, formal groups of structures, and did a more mobile lifestyle continue after the site's public plaza was constructed?; 2) During which time periods did domestic rituals resemble public rituals conducted in the Central Plaza?; and 3) Did domestic rituals involving the bones of ancestors predate and facilitate the development of socio-political hierarchies? MacLellan will establish a clear, refined chronology of the Karinel Group through ceramic analysis and radiocarbon dating in order to answer these questions. This chronology will serve as important comparative data for other Mesoamerican archaeologists. The Ceibal project will employ many local Maya and Hispanic laborers. Through interactions with nearby communities, the researchers will discourage looting, deforestation, and other destructive activities at archaeological sites in the region. The project will also train several Guatemalan students in field and laboratory methods, thereby shaping and supporting the next generation of Guatemalan archaeologists."
"Doctoral Dissertation Research Improvement Grant: Building on the Past: The Emergence of Maya Elites and Monumental Architecture at Anonal, Peten, Guatemala",ARCHAEOLOGY,2009-02-01,Takeshi Inomata,2011-07-31,Jessica Munson,"Under the supervision of Dr. Takeshi Inomata, Jessica Munson will direct archaeological excavations at the ancient Maya site of Anonal located in the Department of Pet_n, Guatemala. This research examines the ways in which monumental buildings mediated the emergence and negotiation of political authority at Anonal from the Middle Preclassic through the end of the Classic period (ca. 900 B.C. - A.D. 900).<br/><br/>Archaeological excavations at Anonal will investigate the architectural history of this site to understand the emerging role of Maya elites and commemoration practices within this community. Maya temples, such as the temple complex at Anonal, commonly represent the result of multiple construction episodes and incorporate architectural elements that date back to much earlier times. Such long construction histories imply some connection with a known past. Long-term use and renovation of Anonal's temple building provides an excellent context to examine the origins of monumental construction in Maya society, as well as related changes in political organization beginning in the Preclassic period. Through intensive excavation this research will document detailed architectural histories, and analyze patterns of use, reconstruction, and abandonment at Anonal's temple complex. Excavations will focus on monumental buildings in order to examine the duration, intensity, and methods of construction associated with these structures over long periods of time. Micromorphological and radiocarbon data from intensive stratigraphic excavations will make unique contributions towards understanding the frequency of construction, the use of different construction materials and techniques, as well as the chronological sequence of these building episodes. <br/><br/>Built environments reflect particular forms of social organization and actively shape people's perception of their surroundings by contributing a sense of place to the people that use them. Alterations to these social landscapes concomitantly affect the creation and transformation of social memories, as well as signify changes in social and political order. Archaeological research on the cultural construction of monumental architecture suggests that these buildings mediated the organization and negotiation of political power and commemoration in ancient Maya society. Legitimization strategies by elite leaders often invoke the past as a means to establish ancestral connections and assert political authority. By examining the construction history and use of Anonal's temple complex, this research will contribute understanding to the origins of Maya monumental architecture and associated changes in political organization. <br/><br/>This research project also has immediate impacts for cultural patrimony regarding the conservation of endangered sites and heritage education. Excavation of Anonal's temple complex will promote stabilization and conservation of threatened structures for future generations. This project will also establish collaborative partnerships with Guatemalan archaeology students and local Qeqchi Maya communities engaged in sustainable cultural tourism projects. Students will be trained in archaeological field methods and participate in laboratory analyses. Local Qeqchi Maya people will also participate in the excavation program and learn about their cultural landscape. This knowledge will promote stewardship of archaeological resources directed by indigenous communities."
Doctoral Dissertation Improvement Grant: Spatial Formation of a Complex Middle American Society,ARCHAEOLOGY,2011-03-15,Takeshi Inomata,2012-02-29,Kenichiro Tsukamoto,"Under the supervision of Dr. Takeshi Inomata, Kenichiro Tsukamoto will examine the spatial formation of a peripheral architectural group at the Maya site of El Palmar, Mexico. This regional center is situated at the intersection of three competing political spheres, Tikal, Calakmul, and RÕo Bec (A.D. 400-800). With only traditional technologies and neither wheeled vehicles or domestic animals the Mayans were able to construct complex societies in an inhospitable lowland environment. Social scientists wish to understand how such systems functioned and what links served to bind large numbers of individuals together. Many traditional societies exist in the world today and knowledge gained about the past is relevant in a contemporary context.<br/><br/>El Palmar is located in southeastern Campeche, Mexico and it consists of the civic-ceremonial core or the Main Group and seven peripheral architectural groups surrounding the Main Group. The proposed research specifically focuses on the Guzmàn Group, one of these peripheral groups located 1.3 km north of the Main Group. The previous survey identified a hieroglyphic stairway adjoined to a small pyramidal temple along with six other structures around a plaza in this group. <br/><br/>This research will assess the evidence for the social status of residents at the Guzmàn Group and their political and ideological relationships with ruling elites at the Main Group. Specifically, this study evaluates five alternative hypotheses: the Guzmàn Group was inhabited by 1) sub-royal or higher elites; 2) intermediate or lower-status individuals; 3) commoners with a temple sponsored by El Palmar rulers; 4) no residents; the group was a purely ritual place representing the northern part of the cardinal worldview, and 5) people resided after the collapse of the El Palmar polity. These hypotheses will be tested through extensive excavations, surface survey, and laboratory analyses. The excavations of the plaza and six structures around it are designed to uncover inscriptions of a hieroglyphic stairway, construction materials of all the buildings, and their associated artifacts. Surface survey will examine the presence of a causeway that connects both groups, which will serve to assess whether the Guzmàn Group was symbolically connected to the core area. The analysis of artifacts will focus on the quantity and distribution of prestige and exotic materials. The results will be compared with data from the Main Group to discern the nature of power and ideological relations between both groups. <br/><br/>Hieroglyphic stairways were usually constructed at the civic-ceremonial core to legitimize the political power of ruling elites, and the case of El Palmar stands as exceptional to this general tendency. A detailed examination of the social processes resulting in the construction of a hieroglyphic stairway in a peripheral area may reveal the dynamic nature of power struggles and ideological negotiations in Classic Maya society. Furthermore, this study will highlight the relationship between the formation of center-periphery relations within a polity and changing broader geopolitical relations among neighboring regional centers during the period of political upheavals (A.D. 400-900). New evidence about the social group and their practices at a peripheral architectural group will broaden our current knowledge on varying strategies of rulers and other social groups in response to external political dynamics. <br/><br/>This research will provide important collaborations among U.S., Mexican, and Japanese students and academic professionals. The substantial results from this project will be disseminated broadly through publications and presentations at scholarly conferences as well as through public outreach in U.S., Mexico, and Japan. The recovered materials and information will be available for other researchers and students at the laboratory of the National School of Anthropology and History (ENAH) in Mexico City."
Doctoral Dissertation Improvement Award: Community Organization And Sport Relationships,DDRI Archaeology,2015-04-01,Takeshi Inomata,2016-03-31,Marijke Stoll,"Under the supervision of Dr. Takeshi Inomata, Marijke Stoll will explore the intersections between formalized competitive interaction, sociopolitical conflict, and public architecture among Prehispanic societies in southeastern Mexico. Such interaction through for example sporting events can serve valuable social functions which extend well beyond viewer entertainment. They provide a forum to consolidate and strengthen cultural affiliation and integrate broad and often diverse groups of individuals within a regional or national framework. Such regional based competition was integral to community and regional politics among ancient societies. Archaeology as a discipline is well-placed to investigate the social role of sports in the distant past. <br/><br/>The Prehispanic ballgame was an important ritualized sport and shared cultural tradition that was played throughout much of ancient Mexico. It was played in large masonry ballcourts, unique structures that were constructed for this single purpose. As a special category of public architecture, ballcourts would have distinguished communities from each other. How ballcourts were distributed across the social landscape was significant - where a ballcourt was emplaced within public space would express the importance of the ballgame to political and daily life. By measuring the centrality of the ballcourt and how accessible it was, it is possible to infer their sociopolitical function at the local and regional levels. <br/><br/>The research assesses the degree to which the ballgame was interwoven with local community politics in the Nejapa region of Oaxaca, Mexico. During the dynamic Postclassic (AD 1000 - 1521), a time of internal population expansion, settlement reorganization, and outside pressure from expanding imperial armies, several communities in Nejapa constructed multiple ballcourts. This suggests that residents of Nejapa may have used the ballgame to integrate different social strata, highlight social differences, and resolve or heighten intra- and intercommunity conflicts. The research will test the hypothesis that the ballgame was a key tool used by both local elites and different communities in Nejapa through site reconnaissance, topographical mapping, and geospatial analysis of ballcourt placement and distribution. Specifically, the project focuses on two broad questions. First, how central was the ballcourt to community social organization and who would have been the intended audience for ballgames and other ritual activities performed in and around the court? Second, does the distribution of ballcourts overlap with the distribution of complex civic centers in Nejapa? Systematic study of the ballcourts in Nejapa at the local and regional scales enhances understanding of how a competitive sport became an important sociopolitical institution in Mesoamerica. <br/><br/>As the first in-depth study of the ballcourts in Nejapa, this project will be conducted in collaboration with area communities with the goal of documenting, recording and preserving the local cultural heritage for future generations to come. Study results will be disseminated through publications and presentations at scholarly venues, official reports for the Mexican government, and a project website targeted at broader audiences. Data from Nejapa will be added to a much larger geodatabase on ballcourts in Oaxaca that will improve the availability of information as well as permit further statistical and geospatial analyses for future research."
"Classic Maya Elite Households: The Analysis of Floor Assemblages from Burned Sructures at Aguateca, Guatemala",ARCHAEOLOGY,2000-06-15,Takeshi Inomata,2004-05-31,Takeshi Inomata,"With support from the National Science Foundation, Dr. Takeshi Inomata will conduct three seasons of analysis of archaeological material recovered from the site of Aguateca. Located in the Petexbatum region of Guatemala, this large multiroom site includes an extensive and complex system of defensive walls. Its epicenter contains a main plaza, causeway and a ""palace group"" which was the possible residence of a royal family. Surrounding this are elite residential areas. Dr. Inomata has conducted three seasons of excavation at the site and this indicates that the elite area was burned during an attack by enemies during the Late Classic period, ca. 800 A.D. The residents fled leaving most of their belongings behind and these have proven to be the richest floor assemblages ever found at a lowland Classic Maya site. Aguateca therefore offers a unique opportunity since at most sites, room materials which archaeologists recover represent worn-out and abandoned artifacts which provide only the most limited and biased insights into prehistoric lives. Dr. Inomata and a team of collaborators will now analyze the materials recovered. Because most pottery was smashed, significant effort will involved reconstruction. These objects, as well as many fragments, will be drawn and photographed. Use-wear analysis of stone tools will provide important information about the activities conducted the residents. The team will analyze the spatial distribution of various types of materials to examine activity areas and household organization. Soils will be analyzed to search for chemical signatures of specific cultural activities.<br/><br/>Both archaeologists and cultural anthropologists have come, in recent years, to realize that in traditional societies households are the basic units of subsistence and production and to understand how groups such as the Maya functioned it is necessary to reconstruct activities on a household level. It is through comparison of individual well documented household groups that insight into social hierarchies and economic and political organization can best be understood. Dr. Inomata and his colleagues wish to understand how Classic period Maya households were organized. They will determine what kind of activities were conducted in and around dwellings and how individual households articulated with higher-level political, economic and social organizations.<br/><br/>This research is important for several reasons. Because of the extraordinary nature of the site, it will provide a unique insight into Maya life and produce data of interest to many archaeologists. It should also shed new light on how with a relatively simple technology and in harsh environmental conditions the Mayan civilization arose and was maintained."
